iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,Vaccination,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,positive_rate,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred
BGD,Asia,Bangladesh,08-03-20,3,3,,,0.018,0.018,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,09-03-20,3,0,,,0.018,0,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,10-03-20,3,0,,,0.018,0,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,11-03-20,3,0,,,0.018,0,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,12-03-20,3,0,,,0.018,0,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,13-03-20,3,0,,,0.018,0,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,14-03-20,3,0,,,0.018,0,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,15-03-20,5,2,,,0.029,0.012,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,16-03-20,8,3,,,0.047,0.018,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,17-03-20,10,2,,,0.058,0.012,0,,,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,18-03-20,14,4,1,1,0.082,0.023,0,0.006,0.006,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,19-03-20,17,3,1,0,0.099,0.018,0,0.006,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,20-03-20,20,3,1,0,0.117,0.018,0,0.006,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,21-03-20,25,5,2,1,0.146,0.029,0,0.012,0.006,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,22-03-20,27,2,2,0,0.158,0.012,0,0.012,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,23-03-20,33,6,3,1,0.193,0.035,0,0.018,0.006,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,24-03-20,39,6,4,1,0.228,0.035,0,0.023,0.006,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,25-03-20,39,0,5,1,0.228,0,0,0.029,0.006,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,26-03-20,44,5,5,0,0.257,0.029,0,0.029,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,27-03-20,48,4,5,0,0.28,0.023,0,0.029,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,28-03-20,48,0,5,0,0.28,0,0,0.029,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,29-03-20,48,0,5,0,0.28,0,0,0.029,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,30-03-20,49,1,5,0,0.286,0.006,0,0.029,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,31-03-20,51,2,5,0,0.298,0.012,0,0.029,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,01-04-20,54,3,6,1,0.315,0.018,0,0.035,0.006,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,02-04-20,56,2,6,0,0.327,0.012,0,0.035,0,,,,,,,,,,,,,,
BGD,Asia,Bangladesh,03-04-20,61,5,6,0,0.356,0.029,0,0.035,0,203,203,0.001,0.001,,,,,,,,,,
BGD,Asia,Bangladesh,04-04-20,70,9,8,2,0.409,0.053,0,0.047,0.012,637,434,0.004,0.003,,,,,,,,,,
BGD,Asia,Bangladesh,05-04-20,88,18,9,1,0.514,0.105,0,0.053,0.006,1004,367,0.006,0.002,,,,,,,,,,
BGD,Asia,Bangladesh,06-04-20,123,35,12,3,0.719,0.204,0,0.07,0.018,1472,468,0.009,0.003,,,,,,,,,,
BGD,Asia,Bangladesh,07-04-20,164,41,17,5,0.958,0.24,0,0.099,0.029,2151,679,0.013,0.004,,,,,,,,,,
BGD,Asia,Bangladesh,08-04-20,218,54,20,3,1.273,0.315,0,0.117,0.018,3132,981,0.018,0.006,,,,,,,,,,
BGD,Asia,Bangladesh,09-04-20,330,112,21,1,1.928,0.654,0,0.123,0.006,4037,905,0.024,0.005,,,,,,,,,,
BGD,Asia,Bangladesh,10-04-20,424,94,27,6,2.477,0.549,0,0.158,0.035,5221,1184,0.031,0.007,0.0723,,,,,,,,,
BGD,Asia,Bangladesh,11-04-20,482,58,30,3,2.816,0.339,0,0.175,0.018,6175,954,0.036,0.006,0.0744,,,,,,,,,
BGD,Asia,Bangladesh,12-04-20,621,139,34,4,3.628,0.812,0,0.199,0.023,7515,1340,0.044,0.008,0.0819,,,,,,,,,
